日期,臺南市,區別,里別,調查種類,調查戶數,陽性戶數,調查容器戶內,調查容器戶外,調查容器合計,陽性容器戶內,陽性容器戶外,陽性容器合計,布氏指數,布氏級數,容器指數,容器級數,經度,緯度
2018/10/1,臺南市,東　區,大同里,住宅,52,1,3,12,15,0,1,1,2,1,7,3,22.9839645,120.2130451
2018/10/1,臺南市,東　區,成大里,住宅,52,0,4,7,11,0,0,0,0,0,0,0,22.9976069,120.2152092
2018/10/1,臺南市,東　區,裕聖里,住宅,50,2,5,8,13,1,1,2,4,1,15,5,22.9802195,120.2469457
2018/10/1,臺南市,東　區,大學里,住宅,50,1,4,6,10,0,1,1,2,1,10,4,22.9963981,120.2209801
2018/10/2,臺南市,東　區,小東里,住宅,50,0,0,6,6,0,0,0,0,0,0,0,22.9970514,120.227472
2018/10/2,臺南市,東　區,崇明里,住宅,50,1,4,5,9,0,1,1,2,1,11,4,22.9685104,120.2195374
2018/10/2,臺南市,東　區,忠孝里,住宅,50,4,5,11,16,1,3,4,8,2,25,6,22.9773869,120.218816
2018/10/2,臺南市,東　區,大智里,住宅,50,0,5,9,14,0,0,0,0,0,0,0,22.962286,120.2332423
2018/10/3,臺南市,東　區,仁和里,住宅,50,3,1,11,12,0,3,3,6,2,25,6,22.9701464,120.2357667
2018/10/3,臺南市,東　區,成大里,住宅,87,0,7,1,8,0,0,0,0,0,0,0,22.9976069,120.2152092
2018/10/3,臺南市,東　區,自強里,住宅,63,2,6,4,10,2,0,2,3,1,20,5,22.9824198,120.2332423
2018/10/4,臺南市,東　區,南聖里,住宅,51,1,1,12,13,0,1,1,2,1,8,3,22.9890944,120.2462245
2018/10/4,臺南市,東　區,德高里,住宅,50,0,3,29,32,0,0,0,0,0,0,0,22.9665308,120.2354061
2018/10/4,臺南市,東　區,泉南里,住宅,50,0,1,5,6,0,0,0,0,0,0,0,22.9847029,120.2159306
2018/10/4,臺南市,東　區,東智里,住宅,50,0,0,4,4,0,0,0,0,0,0,0,22.9629737,120.2267506
2018/10/5,臺南市,東　區,東明里,住宅,50,0,4,4,8,0,0,0,0,0,0,0,22.9916823,120.227472
2018/10/5,臺南市,東　區,和平里,住宅,50,0,6,5,11,0,0,0,0,0,0,0,22.9745842,120.2354061
2018/10/5,臺南市,東　區,衛國里,住宅,50,0,2,9,11,0,0,0,0,0,0,0,22.9882597,120.2245867
2018/10/5,臺南市,東　區,中西里,住宅,50,2,1,8,9,0,2,2,4,1,22,6,22.9905086,120.2202587
2018/10/1,臺南市,南　區,喜南里,住宅,50,1,8,13,21,0,1,1,2,1,5,2,22.9383204,120.1776926
2018/10/1,臺南市,南　區,喜東里,住宅,50,4,2,22,24,0,4,4,8,2,17,5,22.9423225,120.1906803
2018/10/1,臺南市,南　區,開南里,住宅,50,1,9,11,20,0,1,1,2,1,5,2,22.9668748,120.1856297
2018/10/1,臺南市,南　區,南華里,住宅,50,2,4,17,21,0,2,2,4,1,10,4,22.9622436,120.1885158
2018/10/2,臺南市,南　區,新昌里,住宅,50,0,6,7,13,0,0,0,0,0,0,0,22.9835601,120.1957308
