日期,臺南市,區別,里別,"調查種類","調查戶數","陽性戶數",調查容器戶內,調查容器戶外,調查容器合計,陽性容器戶內,陽性容器戶外,陽性容器合計,布氏指數,布氏級數,容器指數,容器級數,經度,緯度
2019/8/6,臺南市,東　區,大同里,住宅,52,0,2 ,14 ,16 ,0 ,0 ,0 ,0 ,0,0 ,0,120.223527,23.08378
2019/8/8,臺南市,東　區,大同里,住宅,51,1,4,8,12,0,1,1,2,1,8,3,120.223527,23.08378
2019/8/8,臺南市,東　區,大同里,住宅,50,1,0 ,6 ,6 ,0 ,1 ,1 ,2 ,1,17 ,5,120.223527,23.08378
2019/8/9,臺南市,東　區,大同里,住宅,50,3,9 ,25 ,34 ,1 ,2 ,3 ,6 ,2,9 ,3,120.223527,23.08378
2019/8/9,臺南市,東　區,大同里,住宅,50,2,12 ,9 ,21 ,0 ,3 ,3 ,6 ,2,14 ,4,120.223527,23.08378
2019/8/9,臺南市,東　區,大同里,住宅,53,0,0 ,9 ,9 ,0 ,0 ,0 ,0 ,0,0 ,0,120.223527,23.08378
2019/8/5,臺南市,東　區,大福里,住宅,50,1,24,6,30,2,0,2,4,1,7,3,120.2159306,22.9739636
2019/8/7,臺南市,東　區,大德里,住宅,50,1,6,24,30,0,2,2,4,1,7,3,120.2148485,22.9778817
2019/8/8,臺南市,東　區,大德里,住宅,50,0,1,6,7,0,0,0,0,0,0,0,120.2148485,22.9778817
2019/8/5,臺南市,東　區,大學里,住宅,50,2,4,8,12,0,2,2,4,1,17,5,120.2209801,22.9963981
2019/8/9,臺南市,東　區,大學里,住宅,50,2,11,1,12,4,0,4,8,2,33,8,120.2209801,22.9963981
2019/8/5,臺南市,東　區,小東里,住宅,52,2,11,9,20,0,2,2,4,1,10,4,120.227472,22.9970514
2019/8/6,臺南市,東　區,中西里,學校,50,1,7,24,31,0,2,2,4,1,6,3,120.2202587,22.9905086
2019/8/8,臺南市,東　區,中西里,住宅,51,0,1,12,13,0,0,0,0,0,0,0,120.2202587,22.9905086
2019/8/9,臺南市,東　區,中西里,住宅,54,4,7,19,26,2,3,5,9,2,19,5,120.2202587,22.9905086
2019/8/5,臺南市,東　區,仁和里,住宅,50,4,0,20,20,0,4,4,8,2,20,5,120.2357667,22.9701464
2019/8/5,臺南市,東　區,文聖里,住宅,50,1,0,11,11,0,1,1,2,1,9,3,120.2447821,22.9840282
2019/8/6,臺南市,東　區,成大里,住宅,54,3,14,10,24,3,1,4,7,2,17,5,120.2152092,22.9976069
2019/8/5,臺南市,東　區,自強里,住宅,50,2,1,32,33,0,3,3,6,2,9,3,120.2352021,22.9838731
2019/8/5,臺南市,東　區,和平里,住宅,50,3,0,9,9,0,3,3,6,2,33,8,120.2326083,22.9769421
2019/8/9,臺南市,東　區,忠孝里,機關,60,0,1,11,12,0,0,0,0,0,0,0,120.218816,22.9773869
2019/8/6,臺南市,東　區,東安里,住宅,50,0,0,14,14,0,0,0,0,0,0,0,120.2213407,22.9872616
2019/8/6,臺南市,東　區,東門里,住宅,52,1,5,16,21,0,3,3,6,2,14,4,120.2144878,22.9890322
2019/8/8,臺南市,東　區,東門里,住宅,50,1,0,32,32,0,1,1,2,1,3,2,120.2144878,22.9890322
2019/8/8,臺南市,東　區,東門里,住宅,53,0,10,11,21,0,0,0,0,0,0,0,120.2144878,22.9890322
2019/8/7,臺南市,東　區,東智里,住宅,54,0,0,13,13,0,0,0,0,0,0,0,120.2267506,22.9629737
2019/8/6,臺南市,東　區,虎尾里,住宅,50,0,4,14,18,0,0,0,0,0,0,0,120.2361273,22.9791309
2019/8/5,臺南市,東　區,南聖里,住宅,50,2,2,5,7,0,2,2,4,1,29,7,120.2462245,22.9890944
2019/8/7,臺南市,東　區,後甲里,地區,102,3,4,28,32,0,3,3,3,1,9,3,120.2382911,22.9927707
2019/8/6,臺南市,東　區,泉南里,住宅,50,0,0,22,22,0,0,0,0,0,0,0,120.2159306,22.9847029
2019/8/8,臺南市,東　區,泉南里,住宅,50,0,0,5,5,0,0,0,0,0,0,0,120.2159306,22.9847029
2019/8/9,臺南市,東　區,泉南里,住宅,50,1,0,8,8,0,2,2,4,1,25,6,120.2159306,22.9847029
2019/8/5,臺南市,東　區,崇文里,住宅,50,1,1,8,9,0,1,1,2,1,11,4,120.2296358,22.9677389
2019/8/8,臺南市,東　區,崇文里,住宅,50,2,4,19,23,0,2,2,4,1,9,3,120.2296358,22.9677389
2019/8/8,臺南市,東　區,崇文里,住宅,51,2,1,26,27,0,2,2,4,1,7,3,120.2296358,22.9677389
2019/8/8,臺南市,東　區,崇明里,住宅,50,2,1,5,6,0,2,2,4,1,33,8,120.2195374,22.9685104
2019/8/9,臺南市,東　區,崇明里,住宅,50,0,0,12,12,0,0,0,0,0,0,0,120.2195374,22.9685104
2019/8/9,臺南市,東　區,崇明里,菜園,50,1,0,44,44,0,1,1,2,1,2,1,120.2195374,22.9685104
2019/8/5,臺南市,東　區,崇善里,住宅,50,2,9,13,22,1,1,2,4,1,9,3,120.2303571,22.9736282
2019/8/7,臺南市,東　區,崇誨里,住宅,52,0,0,20,20,0,0,0,0,0,0,0,120.2256687,22.989711
2019/8/5,臺南市,東　區,崇德里,住宅,50,0,0,3,3,0,0,0,0,0,0,0,120.228078,22.9755064
2019/8/9,臺南市,東　區,崇德里,住宅,50,1,11,22,33,0,1,1,2,1,3,2,120.228078,22.9755064
2019/8/10,臺南市,東　區,崇德里,住宅,53,0,3,12,15,0,0,0,0,0,0,0,120.228078,22.9755064
2019/8/8,臺南市,東　區,崇學里,住宅,50,4,14,13,27,1,3,4,8,2,15,5,120.2231441,22.9778231
2019/8/9,臺南市,東　區,崇學里,住宅,50,1,11,8,19,0,2,2,4,1,11,4,120.2231441,22.9778231
2019/8/9,臺南市,東　區,崇學里,住宅,52,1,4,23,27,0,1,1,2,1,4,2,120.2231441,22.9778231
2019/8/9,臺南市,東　區,崇學里,住宅,50,1,44,18,62,1,0,1,2,1,2,1,120.2231441,22.9778231
2019/8/5,臺南市,東　區,圍下里,住宅,50,1,3,5,8,0,1,1,2,1,13,4,120.2148485,22.9919771
2019/8/6,臺南市,東　區,富強里,住宅,55,0,4,10,14,0,0,0,0,0,0,0,120.2317997,22.9867487
2019/8/7,臺南市,東　區,富強里,住宅,50,5,13,40,53,0,6,6,12,3,11,4,120.2317997,22.9867487
2019/8/8,臺南市,東　區,復興里,住宅,50,3,7,11,18,1,2,3,6,2,17,5,120.2375698,22.9815131
2019/8/8,臺南市,東　區,新東里,住宅,50,1,0,5,5,0,1,1,2,1,20,5,120.2249474,22.9865063
2019/8/5,臺南市,東　區,裕聖里,住宅,51,1,0,7,7,0,1,1,2,1,14,4,120.2461117,22.9819841
2019/8/7,臺南市,東　區,裕農里,住宅,50,0,6,24,30,0,0,0,0,0,0,0,120.2304412,22.9875946
2019/8/8,臺南市,東　區,路東里,住宅,50,0,0,8,8,0,0,0,0,0,0,0,120.2134058,22.9801973
2019/8/5,臺南市,東　區,德高里,住宅,53,4,3,33,36,0,4,4,8,2,11,4,120.2354061,22.9665308
2019/8/5,臺南市,東　區,關聖里,住宅,50,1,0,21,21,0,2,2,4,1,10,4,120.2418972,22.985975
2019/8/7,臺南市,南　區,大成里,住宅,50,0,1,29,30,0,0,0,0,0,0,0,120.1986166,22.9802712
2019/8/4,臺南市,南　區,大忠里,住宅,50,0,11,3,14,0,0,0,0,0,0,0,120.2101595,22.9698014
2019/8/8,臺南市,南　區,大忠里,住宅,50,1,2,24,26,0,1,1,2,1,4,2,120.2101595,22.9698014
2019/8/5,臺南市,南　區,大林里,住宅,50,0,7,8,15,0,0,0,0,0,0,0,120.2058311,22.9733919
2019/8/5,臺南市,南　區,田寮里,住宅,50,1,3,5,8,1,0,1,2,1,13,4,120.1957308,22.976847
2019/8/8,臺南市,南　區,同安里,住宅,50,3,1,25,26,0,4,4,8,2,15,5,120.1892373,22.9224836
2019/8/8,臺南市,南　區,竹溪里,住宅,50,1,3,8,11,0,1,1,2,1,9,3,120.2065525,22.9779397
2019/8/5,臺南市,南　區,佛壇里,住宅,50,2,16,19,35,0,2,2,4,1,6,3,120.1776926,22.9195212
2019/8/5,臺南市,南　區,明亮里,住宅,50,1,8,9,17,0,1,1,2,1,6,3,120.1928448,22.9693947
2019/8/9,臺南市,南　區,金華里,住宅,50,1,0,14,14,0,1,1,2,1,7,3,120.1885158,22.9796984
2019/8/9,臺南市,南　區,南都里,住宅,50,1,0,17,17,0,1,1,2,1,6,3,120.1841866,22.9550918
2019/8/4,臺南市,南　區,省躬里,住宅,50,2,3,19,22,0,3,3,6,2,14,4,120.1863512,22.9338276
2019/8/5,臺南市,南　區,省躬里,住宅,50,3,0,34,34,0,3,3,6,2,9,3,120.1863512,22.9338276
2019/8/9,臺南市,南　區,郡南里,住宅,50,4,3,12,15,1,3,4,8,2,27,6,120.1950093,22.964243
2019/8/8,臺南市,南　區,國宅里,住宅,50,1,4,6,10,0,1,1,2,1,10,4,120.1870727,22.9759721
2019/8/9,臺南市,南　區,喜北里,住宅,50,0,2,13,15,0,0,0,0,0,0,0,120.1776926,22.9490628
2019/8/8,臺南市,南　區,開南里,住宅,50,0,1,10,11,0,0,0,0,0,0,0,120.1856297,22.9668748
2019/8/6,臺南市,南　區,新昌里,住宅,50,0,6,4,10,0,0,0,0,0,0,0,120.1957308,22.9835601
2019/8/9,臺南市,南　區,新興里,住宅,50,1,5,14,19,0,1,1,2,1,5,2,120.19537,22.9799434
2019/8/6,臺南市,南　區,廣州里,住宅,50,1,0,5,5,0,1,1,2,1,20,5,120.1928448,22.9841637
2019/8/8,臺南市,南　區,廣州里,住宅,50,0,8,3,11,0,0,0,0,0,0,0,120.1928448,22.9841637
2019/8/5,臺南市,南　區,興農里,住宅,50,1,6,15,21,0,1,1,2,1,5,2,120.1921233,22.9299372
2019/8/5,臺南市,南　區,鯤鯓里,住宅,50,2,6,14,20,0,2,2,4,1,10,4,120.1733631,22.9566809
2019/8/9,臺南市,南　區,鹽埕里,住宅,50,0,1,6,7,0,0,0,0,0,0,0,120.187246,22.97015
2019/8/5,臺南市,北　區,力行里,住宅,50,1,4,10,14,0,1,1,2,1,7,3,120.2292752,23.0084185
2019/8/8,臺南市,北　區,大光里,住宅,50,0,5,12,17,0,0,0,0,0,0,0,120.2177672,23.0126359
2019/8/8,臺南市,北　區,大和里,住宅,50,0,0,6,6,0,0,0,0,0,0,0,120.1914018,23.0153463
2019/8/9,臺南市,北　區,大港里,住宅,50,0,0,6,6,0,0,0,0,0,0,0,120.1827435,23.0104452
2019/8/4,臺南市,北　區,大豐里,住宅,50,0,12,3,15,0,0,0,0,0,0,0,120.1921233,23.0078107
2019/8/7,臺南市,北　區,大豐里,住宅,50,1,6,10,16,1,0,1,2,1,6,3,120.1921233,23.0078107
2019/8/9,臺南市,北　區,小北里,住宅,50,0,0,3,3,0,0,0,0,0,0,0,120.2079953,23.008515
2019/8/5,臺南市,北　區,中樓里,住宅,50,0,0,3,3,0,0,0,0,0,0,0,120.2159306,23.0034966
2019/8/9,臺南市,北　區,中樓里,住宅,50,0,2,9,11,0,0,0,0,0,0,0,120.2159306,23.0034966
2019/8/8,臺南市,北　區,仁愛里,住宅,50,2,4,15,19,0,2,2,4,1,11,4,120.2202587,23.0025898
2019/8/10,臺南市,北　區,元美里,住宅,50,1,1,9,10,0,1,1,2,1,10,4,120.2079953,23.008515
2019/8/5,臺南市,北　區,元寶里,住宅,50,0,0,2,2,0,0,0,0,0,0,0,120.224226,23.0114904
2019/8/9,臺南市,北　區,北門里,住宅,50,0,4,12,16,0,0,0,0,0,0,0,120.125729,23.2661521
2019/8/5,臺南市,北　區,北華里,住宅,50,0,5,6,11,0,0,0,0,0,0,0,120.2079953,23.008515
2019/8/5,臺南市,北　區,成功里,住宅,50,0,0,5,5,0,0,0,0,0,0,0,120.2094381,23.0202949
2019/8/8,臺南市,北　區,成德里,住宅,50,0,0,1,1,0,0,0,0,0,0,0,120.2036668,23.0134491
2019/8/9,臺南市,北　區,和順里,住宅,50,0,0,1,1,0,0,0,0,0,0,0,120.2015025,23.0051759
2019/8/6,臺南市,北　區,長勝里,住宅,50,1,2,7,9,0,1,1,2,1,11,4,120.2235605,23.0103628
2019/8/8,臺南市,北　區,長興里,住宅,50,0,7,7,14,0,0,0,0,0,0,0,120.205964,23.0039478
2019/8/6,臺南市,北　區,振興里,住宅,50,0,6,4,10,0,0,0,0,0,0,0,120.2217014,23.0063146
2019/8/8,臺南市,北　區,振興里,住宅,50,0,0,5,5,0,0,0,0,0,0,0,120.2217014,23.0063146
2019/8/9,臺南市,北　區,華德里,住宅,50,1,2,12,14,1,0,1,2,1,7,3,120.205039,23.021629
2019/8/5,臺南市,北　區,開元里,住宅,50,0,1,5,6,0,0,0,0,0,0,0,120.2217014,23.0130263
2019/8/8,臺南市,北　區,開元里,住宅,50,1,6,9,15,0,1,1,2,1,7,3,120.2217014,23.0130263
2019/8/7,臺南市,北　區,福德里,住宅,50,1,8,23,31,0,4,4,8,2,13,4,120.2036668,23.0134491
2019/8/8,臺南市,北　區,福德里,住宅,50,0,1,4,5,0,0,0,0,0,0,0,120.2036668,23.0134491
2019/8/5,臺南市,北　區,賢北里,住宅,50,0,5,12,17,0,0,0,0,0,0,0,120.1813004,23.006719
2019/8/5,臺南市,北　區,雙安里,住宅,50,0,9,12,21,0,0,0,0,0,0,0,120.2079953,23.008515
2019/8/8,臺南市,中西區,光賢里,住宅,50,0,1,8,9,0,0,0,0,0,0,0,120.1885158,23.0038665
2019/8/7,臺南市,中西區,西和里,住宅,50,0,7,4,11,0,0,0,0,0,0,0,120.1719199,23.0039814
2019/8/8,臺南市,中西區,西賢里,住宅,50,2,2,10,12,1,1,2,4,1,17,5,120.1719199,23.0039814
2019/8/5,臺南市,中西區,兌悅里,住宅,50,0,2,6,8,0,0,0,0,0,0,0,120.1943685,23.0007006
2019/8/5,臺南市,中西區,兌悅里,住宅,50,4,10,12,22,1,3,4,8,2,18,5,120.1943685,23.0007006
2019/8/8,臺南市,中西區,兌悅里,住宅,50,2,2,6,8,1,1,2,4,1,25,6,120.1943685,23.0007006
2019/8/9,臺南市,中西區,赤嵌里,住宅,64,4,20,44,64,2,3,5,8,2,8,3,120.2072739,22.9972549
2019/8/8,臺南市,中西區,府前里,住宅,50,0,7,7,14,0,0,0,0,0,0,0,120.1918553,22.9916286
2019/8/8,臺南市,中西區,南門里,住宅,50,2,6,10,16,0,2,2,4,1,13,4,120.2044147,22.9867665
2019/8/4,臺南市,中西區,南廠里,住宅,50,3,20,8,28,1,2,3,6,2,11,4,120.1961384,22.9923802
2019/8/5,臺南市,中西區,南廠里,住宅,50,1,5,16,21,1,0,1,2,1,5,2,120.1961384,22.9923802
2019/8/5,臺南市,中西區,城隍里,住宅,50,1,1,5,6,0,1,1,2,1,17,5,120.2091079,22.9920917
2019/8/5,臺南市,中西區,城隍里,住宅,50,1,16,7,23,0,1,1,2,1,4,2,120.2091079,22.9920917
2019/8/6,臺南市,中西區,城隍里,住宅,50,1,24,10,34,0,2,2,4,1,6,3,120.2091079,22.9920917
2019/8/6,臺南市,中西區,城隍里,住宅,50,1,9,7,16,0,1,1,2,1,6,3,120.2091079,22.9920917
2019/8/7,臺南市,中西區,郡王里,住宅,50,0,6,6,12,0,0,0,0,0,0,0,120.2072739,22.986515
2019/8/9,臺南市,中西區,郡王里,學校,50,24,0,35,35,0,24,24,48,5,69,9,120.2072739,22.986515
2019/8/8,臺南市,中西區,淺草里,住宅,50,0,1,5,6,0,0,0,0,0,0,0,120.1976751,22.9939328
2019/8/9,臺南市,中西區,開山里,住宅,51,1,15,21,36,1,0,1,2,1,3,2,120.2097988,22.9876646
2019/8/9,臺南市,安南區,大安里,住宅,50,0,6,16,22,0,0,0,0,0,0,0,120.1950093,23.0313733
2019/8/6,臺南市,安南區,公塭里,住宅,50,0,3,15,18,0,0,0,0,0,0,0,120.1632603,23.0702508
2019/8/7,臺南市,安南區,公塭里,住宅,50,3,0,16,16,0,9,9,18,3,56,9,120.1632603,23.0702508
2019/8/8,臺南市,安南區,公塭里,住宅,14,2,6,6,12,0,2,2,14,3,17,5,120.1632603,23.0702508
2019/8/8,臺南市,安南區,公塭里,住宅,9,0,6,4,10,0,0,0,0,0,0,0,120.1632603,23.0702508
2019/8/8,臺南市,安南區,公塭里,住宅,22,2,1,8,9,0,4,4,18,3,44,9,120.1632603,23.0702508
2019/8/9,臺南市,安南區,公塭里,住宅,13,1,12,14,26,0,1,1,8,2,4,2,120.1632603,23.0702508
2019/8/9,臺南市,安南區,公塭里,住宅,8,0,1,2,3,0,0,0,0,0,0,0,120.1632603,23.0702508
2019/8/5,臺南市,安南區,四草里,住宅,51,1,2,26,28,0,1,1,2,1,4,2,120.1271727,23.0146755
2019/8/5,臺南市,安南區,布袋里,住宅,50,3,0,24,24,0,4,4,8,2,17,5,120.2065525,23.0638587
2019/8/9,臺南市,安南區,安富里,住宅,50,0,5,12,17,0,0,0,0,0,0,0,120.1957308,23.0251806
2019/8/7,臺南市,安南區,安慶里,學校,50,0,2,6,8,0,0,0,0,0,0,0,120.2094381,23.0390892
2019/8/5,臺南市,安南區,州北里,住宅,50,0,0,5,5,0,0,0,0,0,0,0,120.2152092,23.0674114
2019/8/5,臺南市,安南區,州南里,住宅,50,3,0,16,16,0,4,4,8,2,25,6,120.2195374,23.059791
2019/8/6,臺南市,安南區,佃東里,住宅,50,0,1,15,16,0,0,0,0,0,0,0,120.1849082,23.0724268
2019/8/6,臺南市,安南區,幸福里,住宅,50,1,2,5,7,2,0,2,4,1,29,7,120.1899588,23.0210189
2019/8/5,臺南市,安南區,東和里,住宅,50,3,5,39,44,0,3,3,6,2,7,3,120.2368486,23.0615247
2019/8/6,臺南市,安南區,南興里,住宅,50,1,3,23,26,0,1,1,2,1,4,2,120.1502699,23.0743149
2019/8/8,臺南市,安南區,南興里,住宅,50,0,0,13,13,0,0,0,0,0,0,0,120.1502699,23.0743149
2019/8/9,臺南市,安南區,南興里,住宅,50,0,0,11,11,0,0,0,0,0,0,0,120.1502699,23.0743149
2019/8/8,臺南市,安南區,城中里,住宅,50,1,1,30,31,0,1,1,2,1,3,2,120.1307819,23.058919
2019/8/8,臺南市,安南區,淵中里,住宅,51,0,4,13,17,0,0,0,0,0,0,0,120.1675902,23.0438296
2019/8/7,臺南市,安南區,淵西里,住宅,50,1,9,23,32,0,1,1,2,1,3,2,120.1661469,23.0562175
2019/8/9,臺南市,安南區,理想里,住宅,50,2,7,13,20,1,1,2,4,1,10,4,120.1914018,23.0368283
2019/8/5,臺南市,安南區,鹿耳里,住宅,50,0,7,14,21,0,0,0,0,0,0,0,120.1329474,23.0295877
2019/8/5,臺南市,安南區,塭南里,住宅,50,0,3,15,18,0,0,0,0,0,0,0,120.2209801,23.0715691
2019/8/9,臺南市,安南區,溪東里,住宅,50,1,2,11,13,0,1,1,2,1,8,3,120.2015025,23.0253139
2019/8/9,臺南市,安南區,溪頂里,住宅,50,0,0,2,2,0,0,0,0,0,0,0,120.2072739,23.0254471
2019/8/8,臺南市,安南區,學東里,住宅,50,0,0,31,31,0,0,0,0,0,0,0,120.1387218,23.0821055
2019/8/5,臺南市,安南區,總頭里,住宅,51,4,0,26,26,0,4,4,8,2,15,5,120.2065525,23.050434
