日期,臺南市,區別,里別,調查種類,調查戶數,陽性戶數,調查容器戶內,調查容器戶外,調查容器合計,陽性容器戶內,陽性容器戶外,陽性容器合計,布氏指數,布氏級數,容器指數,容器級數,緯度,經度
2018/2/26,台南市,南　區,明興里,住宅,50,0,9,11,20,0,0,0,0,0,0,0,22.9629831,120.1914018
2018/2/26,台南市,東　區,富強里,住宅,50,0,2,60,62,0,0,0,0,0,0,0,22.9867487,120.2317997
2018/2/26,台南市,新市區,永就里,住宅,50,0,2,24,26,0,0,0,0,0,0,0,23.0630173,120.2941424
2018/2/26,台南市,永康區,三民里,住宅,51,2,6,33,39,0,2,2,4,1,5,2,23.0537318,120.2483881
2018/2/26,台南市,北　區,實踐里,住宅,50,1,22,20,42,0,1,1,2,1,2,1,23.0136734,120.2170126
2018/2/26,台南市,安平區,金城里,住宅,50,0,8,38,46,0,0,0,0,0,0,0,22.9953785,120.1488264
2018/2/26,台南市,東　區,和平里,住宅,50,0,1,12,13,0,0,0,0,0,0,0,22.9745842,120.2354061
2018/2/26,台南市,東　區,大福里,住宅,50,0,18,18,36,0,0,0,0,0,0,0,22.9739636,120.2159306
2018/2/26,台南市,北　區,六甲里,住宅,50,0,19,17,36,0,0,0,0,0,0,0,23.0127602,120.2101595
2018/2/26,台南市,北　區,大港里,住宅,50,0,10,16,26,0,0,0,0,0,0,0,23.0104452,120.1827435
2018/2/26,台南市,北　區,長德里,住宅,50,0,9,4,13,0,0,0,0,0,0,0,23.002927,120.2058311
2018/2/26,台南市,南　區,金華里,住宅,51,2,6,21,27,0,2,2,4,1,7,3,22.9796984,120.1885158
2018/2/26,台南市,南　區,新興里,住宅,50,0,19,9,28,0,0,0,0,0,0,0,22.9799434,120.19537
2018/2/26,台南市,東　區,中西里,住宅,50,0,3,4,7,0,0,0,0,0,0,0,22.9905086,120.2202587
2018/2/26,台南市,中西區,進學里,住宅,50,0,9,14,23,0,0,0,0,0,0,0,22.9877228,120.2015025
2018/2/26,台南市,中西區,保安里,住宅,50,0,6,4,10,0,0,0,0,0,0,0,22.9917249,120.196813
2018/2/26,台南市,安平區,平通里,住宅,50,0,11,11,22,0,0,0,0,0,0,0,22.9938422,120.1690334
2018/2/26,台南市,仁德區,大甲里,住宅,50,2,5,11,16,0,3,3,6,2,19,5,22.9225952,120.2079953
2018/2/26,台南市,中西區,福安里,住宅,52,0,19,8,27,0,0,0,0,0,0,0,22.991121,120.1996988
2018/2/26,台南市,安南區,國安里,住宅,50,0,0,6,6,0,0,0,0,0,0,0,23.0236541,120.1805789
2018/2/26,台南市,仁德區,二行里,住宅,50,1,1,12,13,0,1,1,2,1,8,3,22.9212251,120.2209801
2018/2/26,台南市,南　區,文華里,住宅,50,0,11,21,32,0,0,0,0,0,0,0,22.98611,120.1899588
2018/2/26,台南市,中西區,郡西里,住宅,50,0,29,7,36,0,0,0,0,0,0,0,22.9889722,120.1939271
