日期,台南市,區別,里別,調查種類,調查戶數,陽性戶數,調查容器戶內,調查容器戶外,調查容器合計,陽性容器戶內,陽性容器戶外,陽性容器合計,布氏指數,布氏級數,容器指數,容器級數,緯度,經度
2017/8/7,台南市,東　區,崇成里,住宅,50,6,10,14,24,2,4,6,12,3,25,6,22.968559,120.227651
2017/8/7,台南市,東　區,崇學里,住宅,50,6,4,9,13,0,7,7,14,3,54,9,22.977823,120.223144
2017/8/7,台南市,東　區,虎尾里,住宅,50,0,8,7,15,0,0,0,0,0,0,0,22.979131,120.236127
2017/8/8,台南市,東　區,龍山里,住宅,75,4,10,48,58,1,6,7,9,2,12,4,22.983495,120.221701
2017/8/8,台南市,東　區,富強里,住宅,75,1,15,3,18,0,1,1,1,1,6,3,22.986749,120.2318
2017/8/9,台南市,東　區,大學里,住宅,50,2,5,10,15,0,2,2,4,1,13,4,22.996398,120.22098
2017/8/9,台南市,東　區,崇明里,住宅,50,1,1,9,10,0,1,1,2,1,10,4,22.96851,120.219537
2017/8/9,台南市,東　區,崇誨里,住宅,50,1,3,9,12,0,2,2,4,1,17,5,22.989711,120.225669
2017/8/9,台南市,東　區,富裕里,住宅,50,1,16,18,34,0,1,1,2,1,3,2,22.984971,120.227472
2017/8/10,台南市,東　區,裕聖里,地區,50,1,8,13,21,0,1,1,2,1,5,2,22.98022,120.246946
2017/8/10,台南市,東　區,德高里,住宅,50,5,7,14,21,2,5,7,14,3,33,8,22.966531,120.235406
2017/8/10,台南市,東　區,和平里,住宅,50,0,0,4,4,0,0,0,0,0,0,0,22.974584,120.235406
2017/8/10,台南市,東　區,圍下里,住宅,50,2,5,15,20,0,2,2,4,1,10,4,22.991977,120.214849
2017/8/10,台南市,東　區,大德里,住宅,50,4,9,15,24,1,3,4,8,2,17,5,22.977882,120.214849
2017/8/10,台南市,東　區,後甲里,住宅,50,0,0,15,15,0,0,0,0,0,0,0,22.992771,120.238291
2017/8/10,台南市,東　區,崇德里,住宅,50,0,2,7,9,0,0,0,0,0,0,0,22.974534,120.226029
2017/8/10,台南市,東　區,東智里,地區,50,0,0,6,6,0,0,0,0,0,0,0,22.962974,120.226751
2017/8/11,台南市,東　區,裕農里,住宅,52,3,5,10,15,1,2,3,6,2,20,5,22.988695,120.228915
2017/8/11,台南市,東　區,莊敬里,地區,75,0,0,12,12,0,0,0,0,0,0,0,22.996665,120.232521
2017/8/11,台南市,東　區,崇信里,住宅,50,0,7,10,17,0,0,0,0,0,0,0,22.980944,120.227472
