日期,臺南市,區別,里別,調查種類,調查戶數,陽性戶數,調查容器戶內,調查容器戶外,調查容器合計,陽性容器戶內,陽性容器戶外,陽性容器合計,布氏指數,布氏級數,容器指數,容器級數,緯度,經度
2018/4/16,臺南市,東　區,路東里,住宅,75,1,1,15,16,0,2,2,3,1,13,4,22.9801973,120.2134058
2018/4/16,臺南市,東　區,崇誨里,住宅,75,2,5,6,11,0,2,2,3,1,18,5,22.989711,120.2256687
2018/4/16,臺南市,東　區,東門里,住宅,55,1,12,16,28,0,1,1,2,1,4,2,22.9890322,120.2144878
2018/4/17,臺南市,東　區,大學里,住宅,75,1,2,2,4,1,0,1,1,1,25,6,22.9963981,120.2209801
2018/4/17,臺南市,東　區,崇德里,住宅,75,2,5,7,12,0,2,2,3,1,17,5,22.9745344,120.2260293
2018/4/18,臺南市,東　區,裕聖里,住宅,75,0,9,19,28,0,0,0,0,0,0,0,22.9802195,120.2469457
2018/4/18,臺南市,東　區,南聖里,住宅,53,1,6,12,18,0,5,5,9,2,28,7,22.9890944,120.2462245
2018/4/18,臺南市,東　區,泉南里,住宅,77,2,5,5,10,2,0,2,3,1,20,5,22.9847029,120.2159306
2018/4/19,臺南市,東　區,崇善里,住宅,50,0,4,5,9,0,0,0,0,0,0,0,22.9736282,120.2303571
2018/4/19,臺南市,東　區,仁和里,住宅,50,0,9,3,12,0,0,0,0,0,0,0,22.9591394,120.224226
2018/4/19,臺南市,東　區,大同里,住宅,75,3,2,10,12,0,3,3,4,1,25,6,22.9839645,120.2130451
2018/4/19,臺南市,東　區,忠孝里,住宅,79,1,6,5,11,0,1,1,1,1,9,3,22.9773869,120.218816
2018/4/20,臺南市,東　區,和平里,住宅,50,0,0,6,6,0,0,0,0,0,0,0,22.9745842,120.2354061
2018/4/20,臺南市,東　區,崇文里,住宅,50,0,6,6,12,0,0,0,0,0,0,0,22.9677389,120.2296358
2018/4/20,臺南市,東　區,文聖里,住宅,75,0,0,10,10,0,0,0,0,0,0,0,22.9840282,120.2447821
2018/4/16,臺南市,南　區,松安里,住宅,50,2,8,16,24,1,1,2,4,1,8,3,22.9248924,120.1776926
2018/4/16,臺南市,南　區,佛壇里,住宅,50,0,13,18,31,0,0,0,0,0,0,0,22.9195212,120.1776926
2018/4/16,臺南市,南　區,白雪里,住宅,50,1,5,12,17,0,1,1,2,1,6,3,22.9676143,120.1885158
2018/4/16,臺南市,南　區,文南里,住宅,50,0,7,9,16,0,0,0,0,0,0,0,22.9840282,120.1870727
2018/4/17,臺南市,南　區,大林里,住宅,50,0,6,17,23,0,0,0,0,0,0,0,22.9733919,120.2058311
2018/4/17,臺南市,南　區,南都里,住宅,50,0,8,12,20,0,0,0,0,0,0,0,22.9550918,120.1841866
2018/4/17,臺南市,南　區,興農里,住宅,50,1,15,14,29,0,1,1,2,1,3,2,22.9299372,120.1921233
2018/4/17,臺南市,南　區,永寧里,住宅,50,0,6,19,25,0,0,0,0,0,0,0,22.9291405,120.1798573
2018/4/17,臺南市,南　區,大林里,住宅,50,0,6,17,23,0,0,0,0,0,0,0,22.9733919,120.2058311
2018/4/18,臺南市,南　區,文華里,住宅,50,0,12,3,15,0,0,0,0,0,0,0,22.98611,120.1899588
2018/4/18,臺南市,南　區,大成里,住宅,50,0,10,7,17,0,0,0,0,0,0,0,22.9802712,120.1986166
2018/4/18,臺南市,南　區,南華里,住宅,50,0,17,21,38,0,0,0,0,0,0,0,22.9622436,120.1885158
2018/4/18,臺南市,南　區,明興里,住宅,51,0,9,14,23,0,0,0,0,0,0,0,22.9629831,120.1914018
2018/4/19,臺南市,南　區,國宅里,住宅,50,0,8,3,11,0,0,0,0,0,0,0,22.9759721,120.1870727
2018/4/19,臺南市,南　區,新生里,住宅,51,0,5,4,9,0,0,0,0,0,0,0,22.9775543,120.2116023
2018/4/19,臺南市,南　區,郡南里,住宅,50,0,9,19,28,0,0,0,0,0,0,0,22.964243,120.1950093
2018/4/19,臺南市,南　區,明德里,住宅,50,0,8,22,30,0,0,0,0,0,0,0,22.9710918,120.200781
2018/4/19,臺南市,南　區,荔宅里,住宅,50,0,0,10,10,0,0,0,0,0,0,0,22.9749009,120.1986166
2018/4/19,臺南市,南　區,光明里,住宅,51,0,6,3,9,0,0,0,0,0,0,0,22.971944,120.1870727
2018/4/20,臺南市,南　區,喜北里,住宅,50,1,6,6,12,0,1,1,2,1,8,3,22.9490628,120.1776926
2018/4/20,臺南市,南　區,新昌里,住宅,50,1,5,13,18,0,1,1,2,1,6,3,22.9835601,120.1957308
2018/4/20,臺南市,南　區,鯤鯓里,住宅,50,0,5,13,18,0,0,0,0,0,0,0,22.9566809,120.1733631
2018/4/20,臺南市,南　區,再興里,住宅,50,0,5,11,16,0,0,0,0,0,0,0,22.9801358,120.1928448
2018/4/20,臺南市,南　區,省躬里,住宅,50,1,18,15,33,0,1,1,2,1,3,2,22.9338276,120.1863512
2018/4/20,臺南市,南　區,廣州里,住宅,50,0,9,8,17,0,0,0,0,0,0,0,22.9841637,120.1928448
2018/4/16,臺南市,北　區,文元里,住宅,50,1,4,7,11,1,0,1,2,1,9,3,23.0146579,120.1978952
2018/4/16,臺南市,北　區,和順里,住宅,52,0,0,6,6,0,0,0,0,0,0,0,23.0051759,120.2015025
2018/4/16,臺南市,北　區,大和里,住宅,50,0,14,4,18,0,0,0,0,0,0,0,23.0153463,120.1914018
2018/4/16,臺南市,北　區,興南里,住宅,50,0,7,4,11,0,0,0,0,0,0,0,23.0036652,120.2087167
2018/4/17,臺南市,北　區,大豐里,住宅,51,0,6,13,19,0,0,0,0,0,0,0,23.0078107,120.1921233
2018/4/17,臺南市,北　區,六甲里,住宅,50,0,7,4,11,0,0,0,0,0,0,0,23.0127602,120.2101595
2018/4/17,臺南市,北　區,大港里,住宅,50,1,6,8,14,0,1,1,2,1,7,3,23.0104452,120.1827435
2018/4/17,臺南市,北　區,興北里,住宅,50,0,4,2,6,0,0,0,0,0,0,0,23.0057457,120.2116023
2018/4/18,臺南市,北　區,勝安里,住宅,50,0,3,3,6,0,0,0,0,0,0,0,23.0074816,120.217734
2018/4/18,臺南市,北　區,國興里,住宅,50,0,12,2,14,0,0,0,0,0,0,0,23.0094345,120.2260293
2018/4/18,臺南市,北　區,大道里,住宅,50,0,1,12,13,0,0,0,0,0,0,0,23.0099486,120.2155699
2018/4/18,臺南市,北　區,大仁里,住宅,50,0,12,5,17,0,0,0,0,0,0,0,23.0074149,120.2148485
